Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary
Kuo,615,France,Female,33,3,137657.25,1,1,171657.57
Bianchi,415,Spain,Male,53,5,167259.44,1,1,22357.25
Rouse,628,France,Female,45,8,0,1,0,193903.06
Nwoye,700,France,Male,26,4,119009.57,1,0,141926.43
Greco,623,France,Male,33,2,80002.33,1,1,104079.62
Fang,623,France,Female,37,4,140211.88,1,1,93832.33
Chiemenam,679,France,Female,44,3,118742.74,1,0,1568.91
Artemiev,632,Spain,Male,37,1,138207.08,1,0,60778.11
Burrows,790,France,Female,47,10,148636.21,0,1,16119.96
Chizuoke,514,France,Male,45,1,178827.79,1,0,60375.18
T'ien,491,France,Male,33,5,83134.3,1,0,187946.55
Rogova,753,France,Male,92,3,121513.31,0,1,195563.99
Trevisano,693,France,Female,37,6,95900.04,1,1,38196.24
Sagese,679,France,Female,30,1,112543.42,1,1,179435.21
Artyomova,529,Spain,Male,34,9,0,1,1,93208.22
Long,619,Spain,Female,31,3,141751.82,0,1,61531.86
Hsueh,680,Spain,Female,37,6,124140.57,1,0,92826.35
White,693,France,Male,45,2,116546.59,0,0,23140.28
Lazarev,834,France,Female,28,6,0,1,0,74287.53
Benjamin,636,Spain,Female,29,6,157576.47,1,1,101102.39
Wan,538,Spain,Male,43,5,0,1,0,126933.73
Romano,566,France,Female,44,5,141428.99,0,0,68408.74
Craig,597,Spain,Male,35,0,127510.99,1,1,155356.34
Yermolayeva,711,France,Female,29,9,0,0,1,3234.8
Tseng,606,France,Male,31,10,0,1,0,195209.4
Tseng,615,Spain,Male,51,6,81818.49,1,1,169149.38
Le Hunte,589,France,Male,36,1,100895.54,1,1,68075.14
Blake,606,France,Male,45,5,63832.43,1,1,93707.8
Lane,582,France,Male,29,4,0,0,0,156153.27
Sparks,710,France,Female,36,4,116085.06,1,0,58601.61
Tu,467,France,Male,57,1,0,1,1,114448.77
Tochukwu,749,France,Male,30,1,0,0,1,126551.65
Whittaker,564,France,Female,33,2,115761.51,0,1,112350.21
Wang,730,Spain,Male,26,6,0,1,1,185808.7
Northern,678,France,Male,32,4,139626.01,1,1,118235.52
Humphries,540,France,Female,31,7,0,0,1,183051.6
Cremonesi,767,France,Female,35,6,115576.44,0,1,27922.45
Ku,615,France,Female,23,4,0,1,0,196476.19
Tobenna,583,France,Female,41,5,77647.6,1,0,190429.52
Okwuadigbo,850,France,Female,40,5,0,1,0,35034.15
Johnston,651,France,Female,34,10,148962.46,1,0,66389.43
Li,798,France,Male,22,8,0,1,0,107615.43
Talbot,695,France,Male,37,2,0,1,1,99692.65
Tu,497,France,Male,41,5,80542.81,0,0,88729.22
T'ien,739,France,Male,40,4,0,0,0,173321.65
Ross,549,France,Female,34,4,0,0,0,139463.57
Maclean,850,France,Male,35,9,102050.47,1,1,3769.71
Wan,648,Spain,Male,49,5,0,1,0,149946.43
Tsou,679,France,Female,24,6,114948.76,0,1,135768.25
Jack,606,France,Male,39,8,136000.45,1,0,31708.53
Lucchesi,850,France,Male,32,4,156001.68,1,1,151677.31
Ch'eng,619,France,Male,41,3,147974.16,1,0,170518.83
Saunders,719,Spain,Male,44,2,0,1,0,196582.19
Glover,640,France,Male,26,5,90402.77,1,1,3298.65
Tung,710,France,Male,40,5,0,0,0,162878.96
Padovano,580,France,Male,31,2,0,0,1,64014.24
Johnstone,550,France,Male,44,9,0,1,0,26257.01
Endrizzi,841,France,Female,31,3,162701.65,1,1,126794.56
Secombe,760,France,Male,34,2,0,1,0,164162.44
Elewechi,687,France,Female,30,6,0,0,0,179206.92
Chu,753,France,Female,35,5,82453.96,0,0,18254.75
Lucciano,661,France,Male,35,9,100107.99,1,0,83949.68
Pinto,699,France,Male,28,7,0,1,1,22684.78
McGregor,617,France,Female,39,5,83348.89,1,0,7953.62
Ugorji,595,France,Female,44,4,96553.52,1,0,143952.24
Bancks,669,France,Male,50,9,201009.64,1,0,158032.5
Warlow-Davies,613,France,Female,27,5,125167.74,1,0,199104.52
Dale,782,France,Male,32,9,0,1,1,87566.97
Buckley,582,France,Female,43,5,153313.67,0,0,170563.73
Nkemjika,679,France,Male,30,9,0,1,0,157871.55
Fairley,611,France,Female,40,2,125879.29,1,0,93203.43
Boothby,455,France,Female,37,6,170057.62,0,1,54398.56
Chukwuhaenye,621,France,Male,32,1,0,1,1,168779.47
Lock,596,France,Male,48,2,131326.47,0,0,1140.02
Clarke,585,Spain,Female,56,1,128472.8,1,0,186476.91
Ramsey,742,France,Male,32,6,160485.16,1,0,29023.03
Eipper,850,France,Male,42,6,84445.68,0,1,60021.34
Ko,738,France,Female,40,1,115409.18,0,0,180456.8
Munro,619,Spain,Male,46,8,62400.48,1,1,132498.39
McGregor,628,France,Female,50,4,143054.56,0,1,109608.81
Henderson,487,France,Male,24,7,133628.09,1,1,98570.01
Fernandez,513,Spain,Female,41,9,107135.04,1,1,160546.58
Porter,563,Spain,Male,26,7,0,0,0,6139.74
Pan,803,France,Female,65,2,151659.52,0,1,6930.17
Esposito,607,Spain,Female,32,7,0,0,1,10674.62
Kaeppel,628,France,Female,51,9,155903.82,1,1,71159.84
Lamb,521,Spain,Female,49,4,82940.25,0,0,62413.01
Lei,669,France,Female,50,4,112650.89,0,0,166386.22
Conti,686,France,Female,41,10,0,1,0,133086.45
Hargreaves,700,France,Male,35,4,95853.39,1,0,192933.37
Yermolayev,663,France,Female,42,1,82228.67,1,0,71359.78
Kerr,671,Spain,Female,31,4,0,0,1,79270.02
Waters,651,France,Female,35,1,163700.78,1,1,29583.48
Onyeorulu,728,France,Male,34,4,106328.08,1,0,88680.65
Kolesnikova,574,France,Female,34,7,152992.91,1,1,134691.2
Kazakova,464,France,Male,38,3,116439.65,1,0,75574.48
MacDonald,604,Spain,Male,27,9,101352.78,0,0,30252.3
Sharwood,836,Spain,Female,37,10,0,1,0,111324.41
Bufkin,511,France,Female,75,9,105609.17,0,1,105425.18
Nwankwo,518,France,Female,45,8,0,1,1,36193.07
Boniwell,756,France,Male,67,4,0,1,1,93081.87
Willis,489,France,Female,47,8,103894.38,1,1,107625.46
Burns,622,Spain,Male,27,9,139834.93,1,1,152733.89
Kung,652,France,Female,36,6,112518.71,0,1,110421.31
Howells,625,France,Female,37,7,115895.42,1,0,48486.25
Bevan,521,Spain,Female,39,3,146408.68,0,0,72993.67
Neitenstein,546,France,Male,34,4,165363.31,1,1,25744.13
Johnson,697,France,Female,45,1,0,1,0,46807.62
Sandover,571,France,Male,33,3,71843.15,1,0,26772.04
Nnamutaezinwa,748,Spain,Male,35,5,105492.53,1,1,150057.2
Sinclair,591,France,Male,35,7,183027.25,1,1,56028.79
Wei,814,France,Male,29,1,131968.57,1,1,147693.92
Higgins,709,France,Female,45,3,104118.5,0,1,174032
Chang,433,Spain,Male,27,2,0,1,1,153698.65
Henderson,781,France,Male,20,0,125023.1,1,1,108301.45
Cox,656,France,Female,30,4,74323.2,1,1,22929.08
Tsui,683,France,Male,38,7,109346.13,1,0,102665.92
Lee,620,France,Male,32,6,0,1,0,56139.09
Sergeyeva,637,France,Female,39,3,109698.41,1,1,88391.29
Napolitani,525,Spain,Female,30,5,0,0,1,149195.44
Beatham,793,France,Female,34,5,127758.09,1,0,143357.03
Lu,638,France,Male,50,1,102645.48,1,0,168359.98
Yashina,520,France,Male,31,4,93249.4,1,0,77335.75
Bales,641,France,Male,35,5,0,1,0,93148.93
Hill,840,France,Female,51,1,87779.83,0,1,36687.11
Ibeamaka,504,Spain,Male,40,5,0,0,0,146703.36
Romilly,686,France,Male,38,0,138131.34,0,1,115927.85
Hayes,533,France,Male,38,4,70362.52,1,1,104189.46
Chiu,577,France,Female,32,1,0,1,0,9902.39
Sun,445,France,Female,48,7,168286.58,1,0,16645.77
Brennan,720,France,Male,44,3,86102.27,1,0,180134.88
Storey,643,France,Male,25,4,115142.9,1,1,148098.95
Lawson,652,France,Female,47,0,126597.89,1,1,38798.79
T'ao,663,France,Female,33,2,0,1,0,153295
Yao,525,France,Female,30,0,157989.21,1,1,100687.67
Bracewell,662,Spain,Female,54,1,187997.15,0,0,111442.71
Kerr,724,France,Male,54,8,172192.49,1,1,136902.01
Blake,581,France,Male,38,1,133105.47,1,0,105732.9
Sanders,685,Spain,Male,38,4,0,1,1,35884.91
Torkelson,595,France,Male,46,10,0,1,0,73489.15
Hsueh,588,France,Female,21,8,0,1,1,110114.19
Wang,647,France,Male,35,3,192407.97,1,1,40145.28
Hightower,785,France,Female,38,9,107199.75,0,0,146398.51
Genovesi,794,France,Female,55,6,115796.7,1,0,160526.36
Levan,823,France,Male,37,5,164858.18,1,1,173516.71
Lai,687,France,Male,38,4,117633.28,0,1,88396.6
Loginov,850,France,Female,28,9,0,1,0,185821.41
Lafleur,496,France,Female,36,7,0,0,0,108098.28
Obidimkpa,527,France,Female,30,6,126663.51,1,1,162267.91
Ch'ang,576,France,Female,71,6,140273.47,1,1,193135.25
Mason,525,Spain,Female,60,7,0,0,1,168034.9
Miranda,727,France,Male,21,8,153344.72,1,1,163295.87
Simon,671,France,Female,23,9,123943.18,1,1,159553.27
Golubeva,625,France,Male,39,5,0,1,0,99800.87
Manfrin,643,France,Male,33,7,98630.31,1,1,40250.82
Stange,707,France,Female,33,2,58036.33,1,1,83335.78
Ferrari,539,Spain,Male,28,5,0,1,0,48382.4
Taylor,498,France,Male,45,7,109200.74,0,1,165990.44
Wei,696,Spain,Female,30,0,0,1,1,9002.8
Ch'eng,758,France,Female,33,7,0,1,0,188156.34
Parsons,685,France,Female,33,6,0,0,1,186785.01
Pan,655,France,Female,30,1,83173.98,1,1,184259.6
Cameron,747,France,Female,40,3,0,0,0,57817.84
Igwebuike,601,Spain,Male,24,7,0,0,0,144660.42
Tuan,477,France,Male,22,5,82559.42,0,0,163112.9
Fraser,558,France,Male,32,5,73494.21,0,0,136301.1
Turnbull,586,Spain,Male,29,2,132450.24,1,1,36176.63
Chiazagomekpere,850,France,Male,49,6,128663.9,1,0,65769.3
Yudina,505,France,Female,36,2,79951.9,0,1,174123.16
Udinese,591,France,Female,51,8,132508.3,1,1,161304.68
Chinweike,761,France,Female,38,1,120530.13,1,0,109394.62
Bergamaschi,554,France,Female,35,10,74988.59,0,1,190155.13
Milliner,774,France,Female,47,6,94722.88,0,1,61450.96
Knowles,771,Spain,Female,33,5,0,1,0,8673.43
Swinton,792,France,Male,31,6,71269.89,0,1,125912.77
Gregory,673,France,Female,41,9,98612.1,1,0,151349.35
Chibueze,765,France,Male,40,6,138033.55,1,1,67972.45
Sukhorukova,748,France,Female,41,2,91621.69,1,1,71139.31
French,422,France,Male,54,3,140014.42,0,1,86350.97
Estrada,568,Spain,Male,27,5,126815.97,0,1,118648.12
Fleming,502,France,Female,64,3,139663.37,0,1,100995.11
Kennedy,524,France,Female,28,7,0,0,1,147100.72
Combes,689,France,Male,34,1,165312.27,1,0,155495.63
Carruthers,661,France,Male,26,8,0,0,0,196875.87
Andrejew,606,Spain,Male,33,8,0,1,1,63176.77
Ko,678,France,Female,54,1,123699.28,0,1,105221.76
Daniels,636,France,Female,29,3,97325.15,0,1,131924.38
Toscano,647,France,Male,32,5,97041.16,1,1,23132.73
Wilson,732,France,Male,36,5,0,1,0,161428.25
Thomson,646,France,Male,50,0,104129.24,1,0,181794.86
Kazantseva,559,France,Female,43,1,0,0,1,86634.3
Cremonesi,581,France,Male,28,3,104367.5,1,1,29937.75
Ferri,565,France,Male,46,7,135369.71,0,1,140130.22
Ferri,657,Spain,Female,41,6,112119.48,1,0,17536.82
Lombardi,847,France,Male,66,7,123760.68,0,1,53157.16
Eluemuno,558,France,Female,41,6,0,1,1,143585.29
Chiganu,596,Spain,Male,57,6,0,1,1,72402
Hsueh,579,France,Male,39,5,0,0,1,39891.84
O'Brien,741,France,Female,36,3,0,1,1,89804.83
Booth,613,France,Male,44,3,0,0,1,136491.72
O'Loghlin,694,Spain,Male,31,5,0,1,0,35593.18
Lavrov,729,Spain,Female,42,7,0,1,0,58268.2
Somadina,480,France,Female,42,1,152160.21,1,0,101778.9
Colombo,666,France,Female,59,5,0,1,1,185123.09
Troupe,575,France,Male,24,2,0,1,1,119927.81
Kenenna,850,France,Male,36,3,0,1,0,195033.07
Franklin,740,France,Male,36,4,172381.8,1,1,86480.29
Deleon,588,France,Male,41,6,106116.56,1,0,198766.61
Kung,681,France,Male,36,5,141952.07,1,1,185144.08
Zito,611,Spain,Female,33,7,0,1,1,3729.89
Giordano,589,France,Female,37,6,138497.84,0,1,18988.58
Davide,717,Spain,Female,34,1,0,1,0,119313.74
Lei,556,France,Male,33,3,124213.36,1,0,62627.55
Moss,850,France,Male,37,4,126872.6,1,0,197266.58
Lucciano,685,Spain,Female,42,2,0,0,0,199992.48
Tai,713,France,Female,37,8,0,1,1,16403.41
Osinachi,437,France,Female,26,1,120923.52,0,1,78854.57
Coates,605,Spain,Male,47,7,142643.54,1,0,189310.27
Larionova,758,France,Male,41,10,79857.64,1,1,78088.17
Seleznev,600,France,Male,46,10,95502.21,0,0,19842.18
Butcher,827,France,Male,38,5,0,0,0,103305.01
Gould,608,France,Male,23,8,197715.93,1,1,116124.28
Cunningham,608,France,Female,30,8,85859.76,0,0,142730.27
Sanderson,554,France,Male,44,7,85304.27,1,1,58076.52
Mai,683,France,Female,35,1,132371.3,0,0,186123.57
Reid,660,Spain,Male,33,4,0,1,0,29664.45
Downer,628,France,Female,31,5,0,0,0,147963.07
Humphries,668,France,Male,39,4,79896,1,0,38466.39
Bochsa,776,France,Female,29,5,0,1,1,143301.49
Czajkowski,820,France,Male,36,4,0,1,0,31422.69
Pankhurst,665,France,Male,36,1,0,0,1,121505.61
She,850,France,Male,31,4,146587.3,1,1,89874.82
Birdseye,703,France,Female,42,7,0,0,1,72500.68
Hope,506,Spain,Male,32,8,0,0,1,182692.8
Gill,588,Spain,Male,32,3,109109.33,0,1,4993.94
Moon,622,Spain,Female,26,8,0,1,1,124964.82
Watt,606,France,Male,34,5,0,1,0,161971.42
Chinomso,517,France,Male,56,9,142147.32,0,0,39488.04
Bellucci,758,Spain,Female,43,10,0,1,1,55313.44
Barese,677,France,Female,49,3,0,1,1,187811.71
Fleming,827,Spain,Female,35,0,0,0,1,184514.01
Bell,729,France,Female,36,8,109106.8,0,0,121311.12
Li Fonti,654,France,Male,36,2,112262.84,1,0,12873.39
Christmas,654,Spain,Female,36,5,0,0,0,157238.05
Chuter,619,Spain,Male,52,8,0,1,1,123242.11
Johnson,642,Spain,Male,26,8,144238.7,1,1,184399.76
Scott,472,Spain,Female,32,1,159397.75,0,1,57323.18
Byrne,470,Spain,Male,30,4,125385.01,1,0,68293.93
Chukwudi,633,France,Female,60,8,69365.25,1,1,10288.24
Ma,602,France,Male,31,7,155271.83,1,1,179446.31
Simmons,640,Spain,Male,29,5,197200.04,1,0,141453.62
Fang,454,Spain,Female,48,5,144837.79,1,1,93151.77
Blake,562,France,Female,57,3,0,1,0,6554.97
Tien,636,France,Male,34,8,0,1,0,38570.13
Yusupova,621,Spain,Male,50,3,163085.79,0,1,131048.36
Davidson,795,France,Male,38,7,125903.22,1,1,127068.92
Zhdanova,550,France,Male,22,6,154377.3,1,1,51721.52
Nielson,630,Spain,Male,41,7,107511.52,0,1,46156.87
Niu,573,France,Male,30,8,127406.5,1,0,192950.6
Kay,561,Spain,Male,24,8,143656.55,0,1,180932.46
Green,662,France,Female,39,5,138106.75,0,0,19596.73
She,637,France,Male,27,9,128940.24,1,0,46786.92
Ajuluchukwu,651,France,Male,37,9,114453.58,0,1,175820.91
Sabbatini,646,France,Female,33,2,0,0,0,198208
Board,567,France,Female,48,3,0,1,0,55362.45
Leckie,638,France,Male,41,1,131762.94,1,1,47675.29
Ho,725,France,Female,31,6,0,0,0,61326.43
Gordon,709,France,Female,41,3,150300.65,1,0,71672.86
Iroawuchi,787,Spain,Male,39,10,108935.39,1,1,101168.3
Liao,653,France,Male,37,7,135847.47,1,0,144880.81
Hamilton,661,France,Male,37,7,109908.06,1,0,115037.67
Chimaobim,681,France,Male,49,8,142946.18,0,0,187280.51
Fan,436,France,Male,45,3,104339.11,1,1,183540.22
Cayley,663,France,Male,33,5,157274.36,1,1,28531.81
Kuykendall,662,France,Male,64,0,98848.19,0,1,42730.12
McDonald,607,France,Female,39,8,105103.33,1,0,104721.5
Duncan,754,France,Male,34,7,0,1,1,65219.85
Browne,850,France,Female,66,0,127120.62,0,1,118929.64
Barton,578,France,Male,39,2,0,1,0,70563.9
Boyle,666,France,Female,36,3,129118.5,0,0,139435.12
Moretti,599,France,Female,43,4,0,1,0,170347.1
Ukaegbulam,586,France,Female,46,0,0,0,1,131553.82
Nwankwo,825,France,Female,36,3,146053.66,1,1,138344.7
Niu,808,Spain,Female,67,10,124577.15,0,1,169894.4
Hsu,515,Spain,Male,29,4,151012.55,1,0,9770.97
Shaw,663,Spain,Female,58,5,216109.88,0,1,74176.71
Ho,444,France,Male,34,2,144318.97,1,0,112668.06
Christie,650,France,Female,39,4,0,0,0,186275.7
Onwuemelie,609,France,Male,26,7,0,1,0,98463.99
Ch'ang,824,France,Male,77,3,27517.15,0,1,2746.41
Clendinnen,662,France,Male,29,5,147092.65,1,0,10928.3
Onyemauchechi,699,France,Female,51,2,92246.14,0,1,91346.03
Crawford,752,France,Female,41,8,0,1,0,139844.04
Mellor,603,France,Female,40,8,148897.02,0,0,105052.9
Rizzo,628,Spain,Male,50,8,0,0,0,144366.83
Christie,745,France,Female,36,9,0,1,0,19605.18
Watkins,804,France,Female,33,10,138335.96,1,1,80483.76
Ojiofor,454,France,Female,50,10,92895.56,1,0,154344
Tung,631,Spain,Male,46,9,160736.63,0,1,93503.02
McKay,503,France,Male,32,4,0,1,1,153036.97
Meng,548,France,Female,37,9,0,0,0,98029.58
Hussain,668,France,Male,28,4,107141.27,1,0,193018.71
Mactier,619,France,Female,55,0,0,0,0,60810.64
Hsueh,842,France,Female,37,4,132446.08,1,0,87071.18
Nnachetam,707,France,Female,57,1,92053,1,1,164064.44
Barnes,715,Spain,Male,38,2,96798.79,1,1,4554.67
Christie,573,France,Male,35,9,134498.54,1,1,119924.8
Lipton,509,France,Male,55,8,132387.91,1,1,170360.11
Yu,670,France,Female,40,2,147171.2,0,1,69850.04
Storey,613,Spain,Male,44,9,100524.69,1,1,47298.95
Read,678,France,Female,26,1,0,1,0,45443.68
Levy,555,France,Female,51,9,138214.5,1,0,198715.27
Chiu,777,France,Female,30,4,0,0,1,115611.97
Moore,552,Spain,Male,55,3,0,1,1,40333.94
Amies,640,Spain,Male,39,3,0,1,1,105997.25
Tsao,541,France,Male,34,3,128743.55,1,0,134851.12
Rowley,756,France,Male,31,10,122647.32,0,0,61666.87
Aliyev,684,Spain,Female,24,9,79263.9,0,1,196574.48
Riley,618,France,Female,42,2,0,0,0,111097.39
Toscano,604,France,Female,53,2,121389.78,1,1,48201.64
Oluchukwu,624,Spain,Male,38,7,123906.55,1,0,135096.78
Fu,661,Spain,Male,38,7,143006.7,1,1,15650.89
Warner,627,Spain,Female,28,3,157597.61,0,1,34097.22
Fleming,812,Spain,Male,38,3,127117.8,1,1,174822.74
Ch'iu,473,France,Female,39,9,117103.26,1,1,85937.52
Langler,717,Spain,Male,36,2,102989.83,0,1,49185.57
Angelo,693,Spain,Male,28,1,145118.83,0,1,77742.38
T'ien,705,France,Male,92,1,126076.24,1,1,34436.83
Milani,661,France,Male,41,5,0,0,1,88279.6
Pye,573,France,Female,27,4,0,1,1,157549.6
Asher,639,France,Male,37,5,98186.7,0,1,173386.95
Chung,718,France,Female,67,7,0,1,1,82782.08
Yudin,570,France,Male,37,6,0,1,1,187758.5
Arcuri,461,France,Female,40,7,0,1,0,176547.8
Capon,638,France,Female,33,5,129335.65,1,1,56585.2
Piccio,608,Spain,Male,48,7,75801.74,1,0,125762.95
Lung,599,Spain,Male,42,6,0,1,0,113868.4
Trevisan,762,France,Female,44,7,159316.64,0,0,24780.13
John,662,France,Female,38,2,96479.81,1,0,120259.41
Anayolisa,747,France,Male,29,7,117726.33,1,1,175398.34
Ritchie,539,France,Male,39,6,0,1,1,86767.48
Ch'eng,625,France,Male,43,4,122351.29,1,0,71216.6
Macleod,656,France,Female,48,9,0,1,1,85240.61
Boyle,469,France,Female,48,5,0,1,0,160529.71
Chukwuemeka,621,Spain,Female,43,8,0,0,0,102806.6
Bryant,754,France,Female,27,7,0,1,0,144134.64
Hackett,679,France,Female,50,6,132598.38,1,1,184017.98
Kovaleva,535,France,Male,38,2,119272.29,0,0,195896.59
Reed,487,France,Male,37,2,0,1,1,126722.57
Major,850,France,Female,42,3,0,1,1,176883.42
Lo,585,France,Male,55,10,106415.57,1,1,122960.98
Hanson,603,France,Male,31,4,0,0,1,9607.1
Ogbonnaya,728,France,Female,32,9,127772.1,1,1,152643.48
Windsor,621,Spain,Male,41,5,104631.67,1,1,95551.22
Calabrese,833,France,Male,30,1,0,1,0,141860.62
Keating,502,France,Male,37,10,0,1,1,76642.68
Costa,825,France,Male,37,6,118050.79,0,1,52301.15
Tan,668,France,Male,46,0,0,0,0,29388.02
Ma,487,Spain,Female,40,6,136093.74,0,1,193408.43
Martin,600,France,Female,39,7,88477.36,1,0,58632.37
Halpern,606,Spain,Male,34,3,161572.24,0,1,191076.22
Nyhan,623,France,Male,50,7,126608.37,0,1,645.61
Jackson,575,France,Female,54,9,68332.96,1,1,144390.75
Reynolds,577,Spain,Male,48,6,179852.26,1,0,193580.32
Tai,651,France,Female,25,8,0,1,1,126761.2
Trevisani,693,France,Male,46,2,104763.41,1,1,62368.33
Uwakwe,800,France,Male,60,6,88541.57,1,1,131718.12
Kerr,760,France,Male,38,6,162888.73,1,0,91098.76
Findlay,711,France,Female,35,8,0,1,1,67508.01
Ugorji,637,Spain,Male,43,8,0,1,0,12156.93
Balashova,662,France,Male,32,9,0,0,0,65089.38
Cheng,568,France,Female,44,7,0,0,0,62370.67
Martin,692,France,Female,30,7,0,1,1,18826.34
Skinner,614,France,Female,35,1,0,1,1,3342.62
McDonald,478,France,Male,35,1,92474.05,1,0,178626.07
Dellucci,562,France,Male,36,6,0,1,0,32845.32
Reynolds,709,France,Male,30,9,115479.48,1,1,134732.99
Birdsall,684,France,Female,26,5,87098.91,0,0,106095.82
Tsai,546,France,Female,42,9,86351.85,1,0,57380.13
Oguejiofor,779,France,Female,42,5,0,0,0,25951.91
Mackie,576,France,Male,63,3,148843.56,1,0,69414.13
Jamieson,481,France,Male,44,3,163714.52,1,0,96123.72
Mai,445,France,Male,25,6,0,1,0,119425.94
Patterson,606,Spain,Male,36,0,94153.56,0,1,120138.27
Taylor,559,France,Male,50,5,162702.35,0,0,150548.5
Vinogradoff,608,France,Female,56,10,129255.2,1,0,142492.04
North,698,France,Male,41,3,90605.29,1,1,14357
Carter,568,Spain,Male,39,5,0,1,1,129569.92
Graham,528,France,Male,29,3,102787.42,1,0,55972.56
Noble,802,France,Female,39,7,120145.96,0,1,59497.01
Walker,669,France,Male,47,0,63723.78,1,1,181928.25
Chibugo,581,Spain,Female,24,10,159203.71,1,1,102517.83
Yobachi,640,France,Male,38,9,0,1,0,88827.67
Ignatyeva,529,Spain,Female,44,1,0,0,0,14161.3
Chiemela,547,France,Female,51,1,0,1,1,56908.41
Pokrovskaya,718,France,Female,49,10,0,1,0,184474.72
Storey,707,France,Male,34,9,162691.16,1,0,94912.78
Moroney,735,France,Male,43,9,127806.91,1,1,73069.59
Maslov,765,France,Male,43,9,157960.49,0,0,136602.8
Chukwueloka,469,France,Female,52,8,139493.25,0,0,150093.32
Chu,594,France,Female,21,2,87096.82,1,0,168186.11
Spence,675,France,Female,34,10,84944.58,0,0,146230.63
Mills,703,France,Male,50,8,160139.59,1,1,79314.1
Doyle,810,France,Male,33,6,0,1,1,77965.67
Donnelly,715,Spain,Male,42,6,0,1,1,128745.69
Tai,664,France,Male,40,9,0,1,0,194767.3
Abbott,850,France,Male,29,6,0,1,1,10672.54
Perez,724,France,Male,36,6,94615.11,1,1,10627.21
Hsiung,563,France,Male,30,7,90727.79,1,0,122268.75
Cherkasova,714,France,Male,26,3,119545.48,1,0,65482.94
Denisov,614,France,Male,36,1,118311.76,1,0,146134.68
Fowler,740,France,Male,33,1,129574.98,1,1,123300.38
Siciliano,587,France,Male,33,8,148163.57,0,0,122925.4
Crocker,465,France,Male,24,5,117154.9,1,1,127744.02
Longo,689,Spain,Female,40,5,154251.67,0,1,118319.5
Polyakova,656,France,Male,30,3,0,0,1,17104
Brown,579,France,Female,33,1,65667.79,0,0,164608.98
Uspensky,716,France,Female,44,1,0,1,1,152108.47
O'Meara,551,France,Male,42,1,50194.59,1,1,23399.58
Cantamessa,527,France,Female,39,9,96748.89,1,0,94711.43
Alexander,600,France,Female,37,4,0,1,0,7312.25
Chinagorom,685,France,Female,43,1,132667.17,1,1,41876.98
Tomlinson,738,Spain,Male,36,5,0,1,1,96881.32
Lo,622,France,Male,41,2,127087.06,1,0,102402.91
Nwachukwu,528,France,Male,34,1,125566.9,1,1,176763.27
Yang,546,France,Female,52,1,106074.89,1,1,23548.45
Bage,576,France,Male,46,4,137367.94,1,1,33450.11
Marcelo,733,France,Female,38,3,157658.36,0,0,19658.43
Ofodile,727,France,Male,45,6,114422.85,1,1,104678.78
Savage,605,Spain,Male,41,5,103154.66,0,0,143203.78
Piccio,586,France,Male,33,9,0,1,0,6975.02
Simmons,564,Spain,Female,24,6,149592.14,1,1,153771.8
DeRose,593,France,Female,48,3,133903.12,1,1,85902.39
Onuchukwu,736,France,Female,26,0,84587.9,0,1,188037.76
Goodwin,675,Spain,Male,32,8,197436.82,1,1,52710.7
Teakle,656,Spain,Female,32,1,104254.27,1,1,17034.37
Thomson,462,France,Male,39,4,140133.08,0,0,131304.45
Cross,685,Spain,Female,30,2,0,1,1,172576.43
Jones,850,France,Female,36,0,136980.23,1,1,99019.65
Walker,636,France,Female,48,3,120568.41,1,0,190160.04
De Salis,850,France,Female,27,7,43658.33,1,1,3025.49
Oliver,628,France,Female,37,9,0,1,1,34689.77
Lo Duca,798,France,Male,28,3,0,1,0,2305.27
Brookes,610,France,Female,57,7,72092.95,0,1,113228.82
Challis,591,France,Female,42,10,0,0,0,171099.22
Ibeabuchi,614,Spain,Female,37,9,0,1,1,62023.1
Iroawuchi,651,France,Male,35,0,181821.96,0,1,36923.67
Tyler,665,France,Male,25,7,90920.75,0,1,112256.57
Fan,570,France,Male,23,2,0,0,0,198830.98
Bates,631,Spain,Male,29,3,0,1,1,197963.46
Marsden,586,France,Male,32,1,0,0,0,31635.99
Dodgshun,691,France,Male,30,9,0,1,0,49594.02
Maclean,639,France,Male,35,8,0,1,0,170483.9
Blackall,698,France,Female,27,1,94920.71,1,1,40339.9
Mazzanti,733,France,Male,45,2,113939.36,1,0,3218.71
Amadi,850,France,Male,19,8,0,1,1,68569.89
Schoenheimer,618,France,Female,31,4,0,1,0,29176.04
Fiorentino,473,France,Female,25,6,110666.42,0,0,46758.42
Murray,490,France,Male,39,1,0,1,0,171060.01
Fan,754,France,Female,48,7,141819.02,1,0,93550.53
Cartwright,649,France,Female,56,8,156974.26,1,0,89405.26
Cremonesi,578,France,Male,50,5,151215.34,1,0,169804.4
White,690,Spain,Male,26,8,116318.23,1,1,83253.05
Sabbatini,610,France,Male,49,6,113882.33,1,0,195813.81
Patterson,596,France,Male,42,7,0,1,1,121568.37
Bromley,492,France,Female,48,6,127253.98,1,1,92144.09
Doherty,575,Spain,Male,41,2,100062.39,0,0,126307.25
Ifeatu,569,France,Male,66,2,0,1,0,130784.2
Bergamaschi,674,Spain,Female,41,4,126605.14,1,1,166694.93
Shubina,507,France,Female,31,0,106942.08,0,1,44001.11
Lung,457,Spain,Male,44,7,0,0,0,185992.36
